"set","threshold","required_n","note","achieved_by","best_at_2000"
"Set1_Gaussian / location",0.8,25,"<=25","RV1",1
"Set1_Gaussian / location",0.9,30,"","RV1",1
"Set1_Gaussian / location",0.95,48,"","RV1",1
"Set1_Gaussian / scale",0.8,25,"<=25","RV2",1
"Set1_Gaussian / scale",0.9,25,"<=25","RV2",1
"Set1_Gaussian / scale",0.95,28,"","RV2",1
"Set1_Gaussian / combined",0.8,25,"<=25","RV2",1
"Set1_Gaussian / combined",0.9,34,"","RV2",1
"Set1_Gaussian / combined",0.95,51,"","RV2",1
"Set2_LogNormal / location",0.8,59,"","SMD_log",1
"Set2_LogNormal / location",0.9,122,"","SMD_log",1
"Set2_LogNormal / location",0.95,196,"","SMD_log",1
"Set2_LogNormal / shape",0.8,25,"<=25","W1",1
"Set2_LogNormal / shape",0.9,32,"","W1",1
"Set2_LogNormal / shape",0.95,58,"","W1",1
"Set2_LogNormal / combined",0.8,26,"","W1",1
"Set2_LogNormal / combined",0.9,60,"","W1",1
"Set2_LogNormal / combined",0.95,101,"","W1",1
"Set3_Mixture / shape_sym",0.8,184,"","KS",0.9849
"Set3_Mixture / shape_sym",0.9,690,"","W1",0.9849
"Set3_Mixture / shape_sym",0.95,1199,"","W1",0.9849
"Set3_Mixture / shape_skew",0.8,284,"","W1",0.9966
"Set3_Mixture / shape_skew",0.9,537,"","W1",0.9966
"Set3_Mixture / shape_skew",0.95,843,"","W1",0.9966
"Set3_Mixture / combined",0.8,192,"","W1",0.9988
"Set3_Mixture / combined",0.9,368,"","W1",0.9988
"Set3_Mixture / combined",0.95,572,"","W1",0.9988
"Set4_Extremes / sym_severity",0.8,25,"<=25","W1",1
"Set4_Extremes / sym_severity",0.9,42,"","W1",1
"Set4_Extremes / sym_severity",0.95,72,"","W1",1
"Set4_Extremes / sym_prevalence",0.8,48,"","W1",1
"Set4_Extremes / sym_prevalence",0.9,98,"","W1",1
"Set4_Extremes / sym_prevalence",0.95,148,"","W1",1
"Set4_Extremes / asym_severity",0.8,25,"<=25","RV3",1
"Set4_Extremes / asym_severity",0.9,41,"","RV3",1
"Set4_Extremes / asym_severity",0.95,60,"","RV3",1
"Set4_Extremes / bulk_shift",0.8,155,"","KS",0.9988
"Set4_Extremes / bulk_shift",0.9,333,"","KS",0.9988
"Set4_Extremes / bulk_shift",0.95,529,"","KS",0.9988
