"Scenario","SampleSize","TrueNABCD","Bias","RMSE","SD","MeanCIWidth","Coverage_Pct","Coverage_BCa","DetectPower_Pct","DetectPower_BCa","EquivPower_Pct","EquivPower_BCa"
"S1",50,0,0.1851,0.1977,0.0694,0.3278,NA,NA,1,NA,0,NA
"S1",100,0,0.1318,0.1403,0.0481,0.2243,NA,NA,1,NA,0,NA
"S1",200,0,0.0939,0.0998,0.0338,0.1558,NA,NA,0.999,NA,0,NA
"S2",50,0.146,0.0776,0.1228,0.0952,0.3594,0.65,NA,1,NA,0,NA
"S2",100,0.146,0.0383,0.0859,0.0769,0.2685,0.884,NA,1,NA,0,NA
"S2",200,0.146,0.017,0.0647,0.0625,0.2113,0.943,NA,1,NA,0,NA
"S3",50,0.358,0.0232,0.1326,0.1305,0.4586,0.946,NA,1,NA,0,NA
"S3",100,0.358,0.0086,0.0972,0.0968,0.3572,0.945,NA,1,NA,0,NA
"S3",200,0.358,0.0051,0.0705,0.0703,0.2687,0.947,NA,1,NA,0,NA
"S4",50,0.656,0.0136,0.1243,0.1236,0.4864,0.947,NA,1,NA,0,NA
"S4",100,0.656,0.0062,0.0864,0.0861,0.3441,0.956,NA,1,NA,0,NA
"S4",200,0.656,0.0026,0.0613,0.0612,0.2424,0.954,NA,1,NA,0,NA
"S5",50,0.244,0.0562,0.1073,0.0914,0.3717,0.847,NA,1,NA,0,NA
"S5",100,0.244,0.0276,0.0716,0.066,0.2628,0.909,NA,1,NA,0,NA
"S5",200,0.244,0.0136,0.049,0.0471,0.1873,0.938,NA,1,NA,0,NA
"S6",50,0.606,0.0338,0.1391,0.135,0.5381,0.954,NA,1,NA,0,NA
"S6",100,0.606,0.0163,0.0959,0.0945,0.3764,0.956,NA,1,NA,0,NA
"S6",200,0.606,0.0095,0.0679,0.0673,0.2644,0.95,NA,1,NA,0,NA
"S7",50,0.347,0.0487,0.1246,0.1147,0.4328,0.912,NA,1,NA,0,NA
"S7",100,0.347,0.0268,0.0865,0.0823,0.319,0.931,NA,1,NA,0,NA
"S7",200,0.347,0.0145,0.0609,0.0592,0.2303,0.937,NA,1,NA,0,NA
